Nr;Name;Nationality;Team;Age
1;Primož Roglič;Slovenia;Red Bull–Bora–Hansgrohe;35
2;Giovanni Aleotti;Italy;Red Bull–Bora–Hansgrohe;25
3;Nico Denz;Germany;Red Bull–Bora–Hansgrohe;31
4;Jai Hindley;Australia;Red Bull–Bora–Hansgrohe;29
5;Daniel Martínez;Colombia;Red Bull–Bora–Hansgrohe;29
6;Gianni Moscon;Italy;Red Bull–Bora–Hansgrohe;31
7;Giulio Pellizzari;Italy;Red Bull–Bora–Hansgrohe;21
8;Jan Tratnik;Slovenia;Red Bull–Bora–Hansgrohe;35
11;Kaden Groves;Australia;Alpecin–Deceuninck;26
12;Quinten Hermans;Belgium;Alpecin–Deceuninck;29
13;Juri Hollmann;Germany;Alpecin–Deceuninck;25
14;Jimmy Janssens;Belgium;Alpecin–Deceuninck;35
15;Timo Kielich;Belgium;Alpecin–Deceuninck;25
16;Edward Planckaert;Belgium;Alpecin–Deceuninck;30
17;Fabio Van den Bossche;Belgium;Alpecin–Deceuninck;24
18;Jensen Plowright;Australia;Alpecin–Deceuninck;24
21;Alessandro Verre;Italy;Arkéa–B&B Hotels;23
22;Giosuè Epis;Italy;Arkéa–B&B Hotels;23
23;Simon Guglielmi;France;Arkéa–B&B Hotels;27
24;Laurens Huys;Belgium;Arkéa–B&B Hotels;26
25;Michel Ries;Luxembourg;Arkéa–B&B Hotels;27
26;Embret Svestad-Bårdseng;Norway;Arkéa–B&B Hotels;22
27;Luca Mozzato;Italy;Arkéa–B&B Hotels;27
28;Martin Tjøtta;Norway;Arkéa–B&B Hotels;24
31;Antonio Tiberi;Italy;Team Bahrain Victorious;23
32;Pello Bilbao;Spain;Team Bahrain Victorious;35
33;Damiano Caruso;Italy;Team Bahrain Victorious;37
34;Afonso Eulálio;Portugal;Team Bahrain Victorious;23
35;Matevž Govekar;Slovenia;Team Bahrain Victorious;25
36;Fran Miholjević;Croatia;Team Bahrain Victorious;22
37;Andrea Pasqualon;Italy;Team Bahrain Victorious;37
38;Edoardo Zambanini;Italy;Team Bahrain Victorious;24
41;Milan Fretin;Belgium;Cofidis;24
42;Nicolas Debeaumarché;France;Cofidis;27
43;Jonathan Lastra;Spain;Cofidis;31
44;Sylvain Moniquet;Belgium;Cofidis;27
45;Stefano Oldani;Italy;Cofidis;27
46;Anthony Perez;France;Cofidis;34
47;Sergio Samitier;Spain;Cofidis;29
48;Jan Maas;Netherlands;Cofidis;29
51;Sam Bennett;Ireland;Decathlon–AG2R La Mondiale;34
52;Geoffrey Bouchard;France;Decathlon–AG2R La Mondiale;33
53;Dries De Bondt;Belgium;Decathlon–AG2R La Mondiale;33
54;Stan Dewulf;Belgium;Decathlon–AG2R La Mondiale;27
55;Dorian Godon;France;Decathlon–AG2R La Mondiale;28
56;Tord Gudmestad;Norway;Decathlon–AG2R La Mondiale;24
57;Nicolas Prodhomme;France;Decathlon–AG2R La Mondiale;28
58;Andrea Vendrame;Italy;Decathlon–AG2R La Mondiale;30
61;Richard Carapaz;Ecuador;EF Education–EasyPost;31
62;Darren Rafferty;Ireland;EF Education–EasyPost;21
63;Jefferson Alexander Cepeda;Ecuador;EF Education–EasyPost;26
64;Owain Doull;Great Britain;EF Education–EasyPost;32
65;Mikkel Frølich Honoré;Denmark;EF Education–EasyPost;28
66;James Shaw;Great Britain;EF Education–EasyPost;28
67;Georg Steinhauser;Germany;EF Education–EasyPost;23
68;Kasper Asgreen;Denmark;EF Education–EasyPost;30
71;David Gaudu;France;Groupama–FDJ;28
72;Sven Erik Bystrøm;Norway;Groupama–FDJ;33
73;Clément Davy;France;Groupama–FDJ;26
74;Kevin Geniets;Luxembourg;Groupama–FDJ;28
